hour,day_of_week,weather,area_type,traffic_level,severity_class
8,1,Clear,Urban,Medium,0
9,2,Clear,Highway,High,1
12,3,Rain,Urban,High,2
14,4,Clear,Rural,Low,0
18,5,Clear,Urban,High,1
21,5,Rain,Highway,High,2
22,6,Fog,Urban,Medium,2
7,0,Clear,Rural,Low,0
10,1,Clear,Urban,Medium,0
11,2,Rain,Urban,High,2
13,3,Clear,Highway,Medium,1
15,4,Clear,Urban,Low,0
19,5,Clear,Highway,High,1
23,6,Rain,Urban,Low,2
6,0,Clear,Highway,Low,0
16,3,Snow,Rural,Low,2
17,4,Clear,Urban,High,1
20,5,Rain,Highway,High,2
8,6,Clear,Urban,Medium,0
12,0,Clear,Rural,Low,0
14,1,Fog,Urban,Medium,2
9,2,Clear,Highway,Medium,1
10,3,Rain,Urban,High,2
11,4,Clear,Urban,Low,0
18,5,Clear,Highway,High,1
21,6,Rain,Urban,High,2
7,0,Clear,Urban,Low,0
13,1,Clear,Rural,Low,0
15,2,Clear,Highway,High,1
16,3,Rain,Urban,Medium,2
19,4,Clear,Urban,Medium,1
22,5,Fog,Highway,Low,2
8,3,Clear,Urban,Medium,0
12,4,Rain,Rural,Low,1
14,5,Clear,Highway,High,1
20,6,Clear,Urban,Medium,0
10,0,Rain,Urban,High,2
17,1,Clear,Highway,Medium,1
6,2,Clear,Rural,Low,0
11,3,Clear,Urban,Low,0
13,5,Rain,Highway,High,2
15,6,Clear,Urban,Medium,0
18,0,Clear,Highway,High,1
21,2,Rain,Urban,High,2
9,4,Fog,Urban,Medium,2
14,2,Clear,Rural,Low,0
16,6,Clear,Highway,Low,0
19,3,Rain,Urban,High,2
22,1,Clear,Urban,Medium,1
8,5,Clear,Rural,Low,0
12,6,Snow,Highway,Medium,2
